touch_clk_pcc4,		GP,		TOUCH,		RSVD2,		RSVD3,		0x2000,		1
uart3_rx_pcc6,		UARTC,		RSVD1,		RSVD2,		RSVD3,		0x2008,		1
uart3_tx_pcc5,		UARTC,		RSVD1,		RSVD2,		RSVD3,		0x2010,		1
gen8_i2c_sda_pdd2,	I2C8,		RSVD1,		RSVD2,		RSVD3,		0x2018,		1
gen8_i2c_scl_pdd1,	I2C8,		RSVD1,		RSVD2,		RSVD3,		0x2020,		1
spi2_mosi_pcc2,		SPI2,		UARTG,		RSVD2,		RSVD3,		0x2028,		1
gen2_i2c_scl_pcc7,	I2C2,		RSVD1,		RSVD2,		RSVD3,		0x2030,		1
spi2_cs0_pcc3,		SPI2,		UARTG,		RSVD2,		RSVD3,		0x2038,		1
gen2_i2c_sda_pdd0,	I2C2,		RSVD1,		RSVD2,		RSVD3,		0x2040,		1
spi2_sck_pcc0,		SPI2,		UARTG,		RSVD2,		RSVD3,		0x2048,		1
spi2_miso_pcc1,		SPI2,		UARTG,		RSVD2,		RSVD3,		0x2050,		1
can1_dout_paa0,		CAN1,		RSVD1,		RSVD2,		RSVD3,		0x3000,		1
can1_din_paa1,		CAN1,		RSVD1,		RSVD2,		RSVD3,		0x3008,		1
can0_dout_paa2,		CAN0,		RSVD1,		RSVD2,		RSVD3,		0x3010,		1
can0_din_paa3,		CAN0,		RSVD1,		RSVD2,		RSVD3,		0x3018,		1
can0_stb_paa4,		RSVD0,		WDT,		RSVD2,		RSVD3,		0x3020,		1
can0_en_paa5,		RSVD0,		RSVD1,		RSVD2,		RSVD3,		0x3028,		1
can0_wake_paa6,		RSVD0,		RSVD1,		RSVD2,		RSVD3,		0x3030,		1
can0_err_paa7,		RSVD0,		RSVD1,		RSVD2,		RSVD3,		0x3038,		1
can1_stb_pbb0,		RSVD0,		DMIC3,		DMIC5,		RSVD3,		0x3040,		1
can1_en_pbb1,		RSVD0,		DMIC3,		DMIC5,		RSVD3,		0x3048,		1
can1_wake_pbb2,		RSVD0,		RSVD1,		RSVD2,		RSVD3,		0x3050,		1
can1_err_pbb3,		RSVD0,		RSVD1,		RSVD2,		RSVD3,		0x3058,		1
soc_gpio33_pt0,		RSVD0,		SPDIF,		RSVD2,		RSVD3,		0x1000,		0
